id,domain,title,visits,rating,type,flag
kam24.ru,www.kam24.ru/,ИА &quot;Кам 24&quot;,18872,91,private,
AMURINFO,www.amur.info,AMUR.INFO,18850,97,private,s
riavrn.ru,riavrn.ru/,РИА Воронеж,18699,95,public,s
tourdom.ru,www.tourdom.ru/,Турдом.ру - Информационная служба &quot;БАНКО&quot;,18362,68,public,s
konkurent.ru,konkurent.ru/,KONKURENT.RU,18275,87,private,s
glavny.tv,glavny.tv/,Главный региональный,18266,92,private,s
nw24.ru,nw24.ru/,NW24,18197,94,private,s
rostov.aif.ru,rostov.aif.ru/,АиФ Ростов-на-Дону,17907,94,public,s
kp/kpall/reg/kpstav,stav.kp.ru,&quot;Комсомольская правда&quot; Ставрополь. Северный Кавказ,17742,92,public,s
pg13.ru,pg13.ru/,Pro Город Саранск,17695,73,private,s
66,www.66.ru,66.RU Здесь все всё понимают,17572,64,public,s
baikal-daily.ru,baikal-daily.ru/,Байкал-дэйли - новости в реальном времени,17408,91,public,s
vestiprim.ru,vestiprim.ru/,ГТРК &quot;Владивосток&quot;,17407,96,private,s
udm-info.ru,www.udm-info.ru/,Udm-info.ru - 1MI,17146,95,public,s
sm.news,sm.news/,SM.NEWS,17143,81,private,s
snob.ru,snob.ru/,snob.ru,17009,71,private,s
RBCRU/CHR,chr.rbc.ru/,РБК - РосБизнесКонсалтинг - Черноземье,16999,98,private,s
gubdaily.ru,gubdaily.ru/,Daily,16938,90,public,s
hsdigital/rn/smi/22,news.ngs22.ru/,NGS22.RU – главные новости Барнаула. Shkulev Holding,16930,96,public,
nsk.bfm.ru,nsk.bfm.ru/,BFM-Новосибирск,16844,79,private,
sarnovosti.ru,sarnovosti.ru/,ИА «Регион 64»,16491,99,private,s
progorodchelny.ru,progorodchelny.ru/,"Про город Набережные Челны, новости Челнов",16306,95,public,s
hsdigital/rn/smi/42,news.ngs42.ru/,NGS42.RU – главные новости Кемерова. Shkulev Holding,16197,95,public,s
oryol-news.ru,oryol-news.ru/,Лента новостей Орла,16167,74,private,s
73online.ru,73online.ru/,Ульяновск онлайн,16089,95,private,s
mo.tsargrad.tv,mo.tsargrad.tv/,Царьград Подмосковье,16061,95,private,s
otvprim.tv,otvprim.tv/,КГБУ &quot;Общественное телевидение Приморья&quot;,16007,83,private,s
niann.ru,www.niann.ru/,НИА &quot;Нижний Новгород&quot;,15954,97,public,s
hab.aif.ru,hab.aif.ru/,АиФ Хабаровск,15897,92,public,s
sarafan23.ru,sarafan23.ru/,Сарафан23 - новостной портал,15752,90,public,
tvzvezda.ru,tvzvezda.ru/,"ЗВЕЗДА, медиагруппа  | Круглосуточное информационное вещание",15668,79,public,s
chita.tsargrad.tv,chita.tsargrad.tv/,Царьград - Забайкалье,15665,95,private,s
HoldingGorodaLife,goroda.group,Сеть городских изданий «Города Лайф»,15574,96,private,s
kp/kpall/reg/kpchel,chel.kp.ru,&quot;Комсомольская правда&quot; Челябинск,15570,96,public,s
vpravda.ru,vpravda.ru/,Волгоградская правда,15527,98,private,
arkhangelsk-news.ru,arkhangelsk-news.ru/,Лента новостей Архангельска,15274,84,private,s
tvc.ru/news,www.tvc.ru/news/,ТВ Центр. Новости,14938,86,private,
mkset.ru,www.mkset.ru/,Mkset.ru - 1MI,14892,96,public,s
oren1.ru,oren1.ru/,oren1.ru,14881,74,private,s
kp/kpall/reg/kpnnov,nnov.kp.ru,&quot;Комсомольская правда&quot; Нижний Новгород,14870,93,public,s
1777,1777.ru,1777.Ru — Сайт Ставрополя,14868,93,public,
ulpressa.ru,ulpressa.ru/,Улпресса - все новости Ульяновска,14830,94,private,s
sobaka.ru,www.sobaka.ru/,Собака.Ru: Люди. Мода. Город,14768,82,public,
RBCRU/ROSTOV,RBCRU/ROSTOV,РБК - РосБизнесКонсалтинг - Ростов,14718,95,public,
progorodsamara.ru,progorodsamara.ru/,ПроГород Самара - новости Cамары,14684,84,public,s
crimea.ria.ru,crimea.ria.ru/,РИА Крым,14598,46,public,s
56orb.ru,56orb.ru/,56orb.ru - 1MI,14565,93,public,s
shahrikazan.com,shahrikazan.com/,Шахри Казань,14351,98,private,
unitmedia,sibnovosti.ru,"Сибновости.РУ- главные новости Красноярска, Сибири и всей России",14211,94,private,
a42,a42.ru,A42.RU Новости,13925,87,private,s
RBCRU/UFA,ufa.rbc.ru,РБК - РосБизнесКонсалтинг - Уфа,13879,97,public,s
bigpicture.ru,bigpicture.ru/,BigPicture.ru - Новости в фотографиях,13799,81,private,s
newkaliningrad.ru,newkaliningrad.ru/,Новый Калининград.Ru,13794,93,public,s
sgpress.ru,sgpress.ru/,Самарская газета,13709,97,private,s
ko44.ru,ko44.ru/,KO44.RU Новости Кострома и Костромской области,13534,90,private,s
portamur.ru,portamur.ru/,Порт Амур - Дальневосточное информационное агентство,13377,95,public,s
VgorodeN,www.vgoroden.ru/,Информационное агентство «В городе N»,13315,96,private,s
tvsamara.ru,tvsamara.ru/,ГТРК &quot;Самара&quot;,13301,96,private,s
samara.mk.ru,samara.mk.ru/,МК в Самаре,13294,95,private,s
tverigrad.ru,tverigrad.ru/,Tverigrad.ru | Главный информационный портал Тверской области,13220,97,public,s
chehov-vid.ru,chehov-vid.ru/,Телекомпания Чехов-Вид,13212,89,private,s
spas-rt.ru,spas-rt.ru/,Газета Новая жизнь,13178,60,private,
pln-pskov.ru,pln-pskov.ru/,Псковская Лента Новостей,13168,91,public,s
RBCRU/NN,RBCRU/NN,РБК - РосБизнесКонсалтинг - Нижний Новгород,13147,98,public,
bnkomi.ru,bnkomi.ru/,"Информагентство &quot;БНК&quot; (Республика Коми, Сыктывкар)",13124,91,public,s
ku66.ru,ku66.ru/,KU66.RU,13073,96,private,s
RBCRU/TATARSTAN,rt.rbc.ru,РБК - РосБизнесКонсалтинг - Татарстан,12954,97,public,s
priamurmedia.ru,priamurmedia.ru/,"PriamurMedia.ru - новости: Благовещенск, Амурская область",12855,73,private,
progorod76.ru,progorod76.ru/,Pro Город Ярославль,12609,85,private,s
kursdela.biz,kursdela.biz/,Kursdela.ru - 1MI,12569,95,public,s
zebratv.ru,zebratv.ru/,Зебра ТВ,12487,94,private,s
stolicaonego.ru,stolicaonego.ru/,Столица на Онего,12405,91,public,
don24.ru,www.don24.ru/,Don24.ru информагентство Ростовской области,12233,45,public,s
ulan.mk.ru,ulan.mk.ru/,МК в Улан-Удэ,12213,90,private,s
trudohrana.ru,www.trudohrana.ru/,Информационный портал для руководителей и специалистов по охране труда,12188,92,private,s
ngnovoros.ru,ngnovoros.ru/,Новости Новороссийска ngnovoros.ru,12133,81,private,s
ya62.ru,ya62.ru/,YA62.RU – главные новости Рязани. Shkulev Holding,12126,86,public,s
perm.aif.ru,perm.aif.ru/,АиФ Прикамье,11925,95,public,s
vse42_ru,vse42.ru,VSE42.RU - Информационный сайт Кузбасса,11899,96,public,s
RS_Total/Sputniki_Total/Sputnik/Sputnik_ge,sputnik-georgia.ru,Спутник Грузия,11891,73,private,s
burunen.ru,burunen.ru/,Буряад Yнэн - главные новости Бурятии,11878,91,private,s
kubanpressru,kubanpress.ru,KubanPress.ru - 1MI,11796,96,public,
lentv24.ru,lentv24.ru/,ЛенТВ24,11792,92,public,s
mir24.tv,mir24.tv/,"Mir24.tv: новости дня, фото и видео",11776,74,private,s
kommersant/spb,www.kommersant.ru/regions/78,Коммерсантъ Санкт-Петербург,11756,92,private,s
teleport2001.ru,www.teleport2001.ru/,"ТЕЛЕПОРТ.РФ - Новости Благовещенска, Амурской области и России",11673,93,private,
arigus-tv.ru,arigus-tv.ru/,Телерадиокомпания &quot;Ариг Ус&quot;,11587,87,public,s
newsnn.ru,newsnn.ru/,Newsnn.ru - 1MI,11572,94,public,s
RBCRU/TYUMEN,RBCRU/TYUMEN,РБК - РосБизнесКонсалтинг - Тюмень,11284,98,public,
pnpru,www.pnp.ru,Парламентская газета: новости Госдумы и Совета Федерации,11280,88,private,s
lipetsk-news.ru,lipetsk-news.ru/,Лента новостей Липецка,11280,84,private,s
bloknot-stavropol.ru,www.bloknot-stavropol.ru/,Блокнот Ставрополь,11171,92,public,s
sarbc,www.sarbc.ru,СаратовБизнесКонсалтинг,11124,97,private,
gorod55.ru,gorod55.ru/,Gorod55.ru - 1MI,11059,90,public,s
hsdigital/rn/smi/16,116.ru,116.RU – главные новости Казани. Shkulev Holding,11015,92,public,s
ural56.ru,www.ural56.ru/,"Урал56.Ру - Новости Оренбурга, Орска и Оренбургской области!",11003,92,public,s
properm.ru,properm.ru/,Properm.ru - 1MI,10982,96,public,s
gazeta-n1.ru,gazeta-n1.ru/,Газета Номер один,10936,91,public,s
168.ru,168.ru/,Кинешемский городской новостной ресурс «168 часов» — WWW.168.RU,10909,58,private,s
newslipetsk.ru,newslipetsk.ru/,«Новости Липецка»,10900,97,public,s
bloknot-rostov.ru,bloknot-rostov.ru/,Блокнот - Ростов-на-Дону,10883,84,public,s
tulapressa.ru,www.tulapressa.ru/,ИА &quot;Тульская пресса&quot;,10744,97,private,s
dddkursk.ru,www.dddkursk.ru/,Газета «Друг для друга»,10689,96,private,
ptzgovorit.ru,ptzgovorit.ru/,Петрозаводск говорит,10597,95,public,s
moslenta.ru,moslenta.ru/,Мослента - интернет-издание о Москве,10522,85,public,s
precedent.tv,precedent.tv/,Сайт &quot;Прецедент ТВ&quot;,10478,96,private,s
mosregtoday.ru,mosregtoday.ru/,Портал Подмосковье сегодня. Новости и события в Московской области.,10439,86,private,s
