system_id,domain,title,visits,rating,parse_date
hsdigital/rn/smi/74,74.ru,74.RU – главные новости Челябинска. Shkulev Holding,94960,88,2026-02-18
svpressa,svpressa.ru/,Свободная Пресса / svpressa.ru,93100,76,2026-02-18
sakhalinmedia.ru,sakhalinmedia.ru/,SakhalinMedia.ru - новости Южно-Сахалинска и Сахалинской области,91648,73,2026-02-18
androidapplications.store,androidapplications.store/,AndroidApplications.STORE,88223,71,2026-02-18
vuzopedia.ru,vuzopedia.ru/,Сайт для интересующихся высшим образованием,87932,91,2026-02-18
hsdigital/rn/smi/99,mosk.ru,MSK1.RU – главные новости Москвы. Shkulev Holding,86782,91,2026-02-18
primamedia.ru,www.primamedia.ru/,"PrimaMedia - новости Владивостока, Приморского края и Дальнего Востока",86698,88,2026-02-18
iphones.ru,www.iphones.ru/,iPhone,84914,78,2026-02-18
tourister,tourister.ru,Туристер.Ру,83938,85,2026-02-18
interfax.ru/business,www.interfax.ru/business/,Интерфакс/бизнес,83887,81,2026-02-18
kaluga-poisk.ru,kaluga-poisk.ru/,Kaluga-poisk.ru - городской информационный портал,83445,76,2026-02-18
klops.ru,klops.ru/,Клопс,83346,81,2026-02-18
vokrug.tv,www.vokrug.tv/,"Вокруг ТВ - телегид, телепрограмма и энциклопедия телевидения",82852,70,2026-02-18
Zstory,zstory.ru,Жизнестории,82801,76,2026-02-18
krasnodarmedia.su,krasnodarmedia.su/,KrasnodarMedia,81943,76,2026-02-18
novosib_1mi,atas.info,atas.info - 1MI,81725,79,2026-02-18
ktv-ray.ru,ktv-ray.ru/,КТВ-ЛУЧ,81403,81,2026-02-18
abnews.ru,www.abnews.ru/,АБН24,80817,62,2026-02-18
football.kulichki.net,www.football.kulichki.net/,"Футбол на Куличках - Новости футбола, отчеты, аналитика, текстовые трансляции!",80158,58,2026-02-18
GUP_RB,rbsmi.ru,АО Издательский дом Pеспублика Башкортостан,79933,95,2026-02-18
bankinform.ru,bankinform.ru/,Bankinform.ru - портал о банках Екатеринбурга,79796,93,2026-02-18
2gis/online/ru/novosibirsk,2gis.ru,"Карта Новосибирска: улицы, дома и организации города — 2ГИС",79244,95,2026-02-18
stopgame.ru,stopgame.ru/,StopGame.ru - Только игры,78251,78,2026-02-18
2gis/online/ru/spb,2gis.ru,"Карта Санкт-Петербурга: улицы, дома и организации города — 2ГИС",78149,91,2026-02-18
hsdigital/mn/maximonline,maximonline.ru,MAXIM Online,77714,78,2026-02-18
alltime.ru,www.alltime.ru/,AllTime.Ru - часы подарки сувениры.,77188,81,2026-02-18
progorod76.ru,progorod76.ru/,Pro Город Ярославль,77081,74,2026-02-18
kp/kpall/putevoditel/serialy,www.kp.ru/putevoditel/serialy,Кино и Сериалы КП,76212,71,2026-02-18
fishki,fishki.net/,Фишки Нет - первое развлекательное сообщество Рунета,75692,72,2026-02-18
flamp,flamp.ru,Фламп - отзывы о компаниях и местах вашего города.,75585,93,2026-02-18
karelinform.ru,karelinform.ru/,Кarelinform.ru - 1MI,75526,96,2026-02-18
bfm.ru,bfm.ru/,BFM.ru - деловой портал,75271,79,2026-02-18
forumhouse.ru,www.forumhouse.ru/,FORUMHOUSE – самый популярный и авторитетный портал о строительстве в России,73713,93,2026-02-18
hsdigital/wn/doctorpiter,doctorpiter.ru,Доктор Питер - сайт о здоровье и здоровом образе жизни,73494,78,2026-02-18
hsdigital/rn/smi/61,161.ru,161.RU – главные новости Ростова-на-Дону. Shkulev Holding,72299,79,2026-02-18
mirkvartir,www.mirkvartir.ru,МИР КВАРТИР - Вся недвижимость России,72003,90,2026-02-18
JobLab,joblab.ru,JobLab.ru,71532,95,2026-02-18
atorus.ru,www.atorus.ru/,Ассоциация туроператоров России,71501,67,2026-02-18
5-tv.ru,5-tv.ru/,Пятый канал,71102,86,2026-02-18
baby_ru,www.baby.ru/,бэби.ру - быть счастливыми родителями,70471,88,2026-02-18
newizv.ru,newizv.ru/,Новые Известия - 1MI,69785,91,2026-02-18
tophotels.ru,tophotels.ru/,Tophotels - рейтинг отелей мира,69346,76,2026-02-18
technical.city,technical.city/,Technical City,68410,38,2026-02-18
spravportal.ru,www.spravportal.ru/,SpravPortal - Справочный портал,68388,91,2026-02-18
angl-gdz.ru,angl-gdz.ru/,ГДЗ по английскому языку 1-11 класс,68380,87,2026-02-18
78.ru,78.ru/,Городской портал 78.ru,67695,89,2026-02-18
goha.ru,www.goha.ru/,GoHa.Ru - Форумы и Сайты ММОРПГ. Все новости Игрового Мира и Мира Компьютеров.,67574,72,2026-02-18
astv.ru,astv.ru/,Новости Сахалина и Курил - портал АСТВ,66945,88,2026-02-18
ru-minecraft.ru,ru-minecraft.ru/,"Майнкрафт, все для Minecraft, моды, текстуры, карты.",65816,77,2026-02-18
zaycev.net,zaycev.net/,ТУТ ЗАЙЦЕВ.НЕТ! Только самые свежие и популярные mp3 БЕСПЛАТНО и БЕЗ РЕГИСТРАЦИИ,64574,83,2026-02-18
autonews.ru,www.autonews.ru/,Autonews.ru: новости об автомобилях,64524,87,2026-02-18
kaspyinfo.ru,kaspyinfo.ru/,КаспийИнфо. Новости Астрахани и региона,64353,84,2026-02-18
brif.news,brif.news/,Бриф24,64115,69,2026-02-18
Infostart,infostart.ru/,Инфостарт - готовые решения на 1С,63711,86,2026-02-18
overclockers.ru,www.overclockers.ru/,"Overclockers.ru - Профессиональные новости, статьи и блоги",63191,74,2026-02-18
gamesisart.ru,gamesisart.ru/,"GamesisArt.ru - теория компьютерных игр, разработка, инди, прохождения",63182,75,2026-02-18
m-strana.ru,m-strana.ru/,Малоэтажная страна - самый популярный портал по строительству.,63091,89,2026-02-18
gazeta.ru/culture,gazeta.ru/culture/,Газета.Ru: Культура,62991,80,2026-02-18
football24.ru,football24.ru/,Футбол 24: новости футбола сегодня в России и мире,62274,80,2026-02-18
tourdom.ru,www.tourdom.ru/,Турдом.ру - Информационная служба &quot;БАНКО&quot;,62171,57,2026-02-18
hsdigital/wn/marieclaire,marieclaire.ru,Marie Claire,62050,80,2026-02-18
anekdot.ru,www.anekdot.ru/,Анекдоты из России,61870,70,2026-02-18
buh.ru,buh.ru/,Интернет-ресурс для бухгалтеров BUH.RU,61345,91,2026-02-18
rosbalt.ru,rosbalt.ru/,Росбалт - Новости России и мира сегодня,59696,75,2026-02-18
cher-poisk.ru,cher-poisk.ru/,Городской портал Череповец-поиск,59452,80,2026-02-18
gorodrabot.ru,gorodrabot.ru/,Работа и вакансии - GorodRabot.ru,59114,90,2026-02-18
iguides.ru,www.iguides.ru/,iGuides.ru,58205,86,2026-02-18
rzn.info,rzn.info/,Рязанское информационное агентство — РЗН.инфо,58091,95,2026-02-18
HoldingGorodaLife,goroda.group,Сеть городских изданий «Города Лайф»,58021,82,2026-02-18
gazeta.ru/sport,gazeta.ru/sport/,Газета.Ru: Спорт,57532,78,2026-02-18
progoroduhta.ru,progoroduhta.ru/,Pro Город Ухта,57292,75,2026-02-18
Realnoevremya,realnoevremya.ru,Реальное время - интернет-газета деловых новостей Казани и Татарстана,56944,85,2026-02-18
regnews,newstula.ru,Региональные новости - региональный медиахолдинг,56927,95,2026-02-18
ku66.ru,ku66.ru/,KU66.RU,56447,82,2026-02-18
ysia.ru,ysia.ru/,Якутское-Саха информационное агентство,56164,84,2026-02-18
ekaterinburg.hh.ru,ekaterinburg.hh.ru/,Работа в Екатеринбурге на HeadHunter,56112,94,2026-02-18
dpgroup,www.dp.ru,Деловой Петербург,55347,69,2026-02-18
dom2.ru,dom2.ru/,Дом-2,54563,83,2026-02-18
kp/kpall/reg/kpspb,spb.kp.ru,&quot;Комсомольская правда&quot; Санкт-Петербург,54517,89,2026-02-18
cheb_ru,www.cheb.ru,CHEB.ru: Группа сайтов Чебоксар и Чувашии,54454,96,2026-02-18
fotostrana,fotostrana.ru,ФотоСтрана – развлекательная социальная сеть,54398,78,2026-02-18
hsdigital/mn/vokrugsveta,www.vokrugsveta.ru/,Вокруг Света,53769,77,2026-02-18
prmira.ru,prmira.ru/,Prmira.ru - 1MI,53117,86,2026-02-18
buhgalteria.ru,www.buhgalteria.ru/,Бухгалтерия.ru - все о бухучете и налогообложении,53025,92,2026-02-18
magadanmedia.ru,magadanmedia.ru/,MagadanMedia,52925,73,2026-02-18
hsdigital/wn/ellegirl,ellegirl.ru,theGirl: онлайн-журнал для девушек,52578,84,2026-02-18
hsdigital/rn/smi/02,ufa1.ru,UFA1.RU – главные новости Уфы. Shkulev Holding,52241,91,2026-02-18
kazanfirst.ru,kazanfirst.ru/,Kazanfirst - Новости Татарстана,52144,94,2026-02-18
pg11.ru,pg11.ru/,Pro Город Сыктывкар,51095,69,2026-02-18
KonstruktorTestov,konstruktortestov.ru/,Конструктор Тестов - онлайн тесты для интеграции в ваш сайт,51055,83,2026-02-18
2gis/online/ru/ekaterinburg,2gis.ru,"Карта Екатеринбурга: улицы, дома и организации города — 2ГИС",50506,95,2026-02-18
peterburg2.ru,peterburg2.ru/,PETERBURG2 Новости и события из Петербурга,50277,79,2026-02-18
kapital-rus-ru,kapital-rus.ru,Капитал страны,49976,85,2026-02-18
kapital-rus.ru,www.kapital-rus.ru/,Капитал страны - инвестиции и инвестиционные возможности России,49975,85,2026-02-18
eaomedia.ru,eaomedia.ru/,EAOmedia.ru - новости Биробиджана и ЕАО,49887,73,2026-02-18
v-tagile.ru,www.v-tagile.ru/,Новости Нижнего Тагила,49783,97,2026-02-18
konkurent.ru,konkurent.ru/,KONKURENT.RU,49206,93,2026-02-18
forum.ixbt.com,forum.ixbt.com/,Конференция iXBT.com,48838,80,2026-02-18
service-online.su,service-online.su/,Service-Online.su,48391,84,2026-02-18
ir-center.ru,ir-center.ru/,Сайт вакансий ЦЗН РФ,48359,96,2026-02-18
u-mama.ru,u-mama.ru/,U-mama.ru - сайт для настоящих и будущих родителей,47811,87,2026-02-18
avtovzglyad.ru,avtovzglyad.ru/,АвтоВзгляд - авто новости,47588,84,2026-02-18
liveinternet.ru,www.liveinternet.ru/,LiveInternet.ru - лучшая статистика в интернете бесплатно,47512,64,2026-02-18
geocult.ru,geocult.ru/,Астрологический дневник,47223,65,2026-02-18
Super_group_278,super.ru,Super.ru,47184,76,2026-02-18
stolicaonego.ru,stolicaonego.ru/,Столица на Онего,47092,87,2026-02-18
tagilcityru,tagilcity.ru,TagilCity.ru - 1MI,46942,80,2026-02-18
Tatar-Inform,tatar-inform.ru,ИА &quot;Татар-Информ&quot;,46726,88,2026-02-18
krasnodar.hh.ru,krasnodar.hh.ru/,"HeadHunter::Краснодар – лучшие вакансии, успешные кандидаты",46714,91,2026-02-18
kaliningradtv.ru,kaliningradtv.ru/,kaliningradtv.ru,45581,70,2026-02-18
gubdaily.ru,gubdaily.ru/,Daily,45449,80,2026-02-18
avtodispetcher.ru,www.avtodispetcher.ru/,Автодиспетчер.Ру,45274,88,2026-02-18
kp/kpall/edu,www.kp.ru/edu,Комсомольская правда: Я знаю,45181,85,2026-02-18
fr-lyrics.ru,www.fr-lyrics.ru/,Переводы песен,45152,61,2026-02-18
fanfics.ru,fanfics.ru/,"Fanfics.me - Восьмая, девятая и десятая книги о Гарри Поттере в фанфиках",45127,78,2026-02-18
polyublyu.ru,polyublyu.ru/,Необычный сайт знакомств Полюблю,45007,81,2026-02-18
moya-planeta.ru,moya-planeta.ru/,Клуб Моя Планета — точка сбора путешественников. Свои люди по всему миру.,44979,65,2026-02-18
